Perfume_Bottle,0.8189,0.6381,0.1831,0.0053,0.0015,0.0000
Perfume_Bottle,0.6333,1.4899,0.1917,0.0087,0.0004,0.0001
Perfume_Bottle,0.5890,0.8530,0.1863,0.0069,0.0006,0.0001
Perfume_Bottle,0.5856,0.8732,0.1840,0.0059,0.0007,0.0001
Perfume_Bottle,0.6920,1.5753,0.1873,0.0072,0.0005,0.0001
Perfume_Bottle,0.5767,1.2255,0.1874,0.0073,0.0002,0.0001
Perfume_Bottle,0.5923,1.0756,0.1790,0.0044,0.0003,0.0000
Perfume_Bottle,0.5497,1.0400,0.1864,0.0070,0.0003,0.0001
Perfume_Bottle,0.5878,1.0752,0.1792,0.0045,0.0003,0.0000
Perfume_Bottle,0.7897,1.8693,0.1952,0.0103,0.0006,0.0001
Perfume_Bottle,0.6624,0.7605,0.1804,0.0044,0.0011,0.0000
Perfume_Bottle,0.8009,0.6732,0.1794,0.0041,0.0013,0.0000
Perfume_Bottle,0.7253,1.8137,0.1985,0.0116,0.0005,0.0001
Hanger,0.1623,0.4491,1.2844,0.7918,0.4286,0.0119
Hanger,0.1263,0.6148,1.3958,1.0452,0.7154,0.0221
Hanger,0.1219,0.7320,1.3415,0.7808,0.8127,0.0167
Hanger,0.1288,0.5573,1.3680,0.8651,0.6682,0.0177
Hanger,0.1326,0.5654,1.3124,0.6078,0.8210,0.0170
Hanger,0.1325,0.9055,1.3386,0.5850,1.1097,0.0151
Hanger,0.1202,0.7893,1.3861,0.8340,1.1226,0.0235
Hanger,0.1203,0.6605,1.4012,0.9185,0.8145,0.0197
Hanger,0.1431,0.4842,1.3871,0.9621,0.6182,0.0211
Hanger,0.1263,0.6148,1.3958,1.0452,0.7154,0.0221
Hanger,0.1219,0.7320,1.3415,0.7808,0.8127,0.0167
Hanger,0.1288,0.5573,1.3680,0.8651,0.6682,0.0177
Hanger,0.1326,0.5654,1.3124,0.6078,0.8210,0.0170
Hanger,0.1325,0.9055,1.3386,0.5850,1.1097,0.0151
Hanger,0.1202,0.7893,1.3861,0.8340,1.1226,0.0235
Hanger,0.1203,0.6605,1.4012,0.9185,0.8145,0.0197
Hanger,0.1431,0.4842,1.3871,0.9621,0.6182,0.0211
Hanger,0.1263,0.6148,1.3958,1.0452,0.7154,0.0221
Hanger,0.1219,0.7320,1.3415,0.7808,0.8127,0.0167
Hanger,0.1288,0.5573,1.3680,0.8651,0.6682,0.0177
Hanger,0.1326,0.5654,1.3124,0.6078,0.8210,0.0170
Hanger,0.1325,0.9055,1.3386,0.5850,1.1097,0.0151
Hanger,0.1202,0.7893,1.3861,0.8340,1.1226,0.0235
Hanger,0.1203,0.6605,1.4012,0.9185,0.8145,0.0197
Hanger,0.1431,0.4842,1.3871,0.9621,0.6182,0.0211
Cup,0.4988,1.3947,0.2455,0.0130,0.0004,0.0033
Cup,0.5564,0.6215,0.2278,0.0083,0.0209,0.0024
Cup,0.5401,0.6452,0.2347,0.0094,0.0223,0.0029
Cup,0.5034,1.3886,0.2435,0.0138,0.0005,0.0032
Cup,0.5400,0.6452,0.2347,0.0094,0.0223,0.0029
Cup,0.4850,1.0851,0.2234,0.0087,0.0008,0.0019
Cup,0.5536,0.6158,0.2349,0.0093,0.0267,0.0029
Cup,0.5431,0.6356,0.2443,0.0096,0.0288,0.0036
Cup,0.5931,1.7045,0.2422,0.0126,0.0028,0.0031
Cup,0.5397,0.6452,0.2347,0.0094,0.0223,0.0029
Hanger,0.1344,0.5451,1.3237,0.7965,0.6618,0.0162
Hanger,0.1341,0.5444,1.3262,0.7999,0.6587,0.0159
RollingPin,0.5058,0.2288,0.6029,0.3372,0.0005,0.0000
RollingPin,0.3725,0.3098,0.6211,0.3592,0.0006,0.0001
RollingPin,0.2535,0.4680,0.6375,0.3802,0.0033,0.0004
RollingPin,0.2644,0.4803,0.6099,0.3458,0.0004,0.0000
RollingPin,0.2046,0.7484,0.6284,0.3685,0.0001,0.0001
RollingPin,0.2111,1.7778,0.6815,0.4380,0.0001,0.0000
RollingPin,0.1889,1.2821,0.6648,0.4157,0.0000,0.0000
Lid,0.7728,1.0197,0.1636,0.0004,0.0000,0.0000
Lid,0.7733,1.0197,0.1636,0.0004,0.0000,0.0000
Lid,0.8117,1.0576,0.1636,0.0003,0.0000,0.0000
Lid,0.7506,0.9792,0.1613,0.0003,0.0000,0.0000
Lid,0.7637,1.1282,0.1623,0.0003,0.0000,0.0000
